Job Title,Salary Estimate,Company Name,Location,Size,Founded,Type of ownership,Industry,salary,Company,State
Data Scientist,$78K-$133K (Glassdoor est.),"Publishers Clearing House LLC
3.3","Jericho, NY",501 to 1000 Employees,1953,Company - Private,Advertising & Marketing,78-133 ,"Publishers Clearing House LLC
", NY
Data Scientist Architect,$78K-$133K (Glassdoor est.),"Sullivan, Cotter and Associates, Inc.
4.2","Minneapolis, MN",201 to 500 Employees,1992,Company - Private,Consulting,78-133 ,"Sullivan, Cotter and Associates, Inc.
", MN
Revit Expert / BIM Modeling Engineer - Concrete Construction,$78K-$133K (Glassdoor est.),Palatial Concrete,"Alexandria, VA",-1,-1,-1,-1,78-133 ,Palatial Concrete, VA
Bioinformatics Scientist,$78K-$133K (Glassdoor est.),Eclipse BioInnovations,"San Diego, CA",-1,-1,-1,-1,78-133 ,Eclipse BioInnovations, CA
Data Engineer,$78K-$133K (Glassdoor est.),"Chenega Corporation
2.7","Springfield, VA",5001 to 10000 Employees,1974,Company - Private,Aerospace & Defense,78-133 ,"Chenega Corporation
", VA
Risk Analytics Manager,$78K-$133K (Glassdoor est.),"Cane Bay Partners VI, LLLP
4.4","Saint Croix, VI",1 to 50 Employees,2009,Company - Private,Consulting,78-133 ,"Cane Bay Partners VI, LLLP
", VI
Senior Food Scientist,$78K-$133K (Glassdoor est.),"R. Torre & Company
3.5","San Francisco, CA",51 to 200 Employees,1925,Company - Private,Food & Beverage Manufacturing,78-133 ,"R. Torre & Company
", CA
Medical Technologist (MT) / Medical Laboratory Scientist (MLT),$78K-$133K (Glassdoor est.),"Sampson Regional Medical Center
2.2","Clinton, NC",501 to 1000 Employees,1949,Hospital,Health Care Services & Hospitals,78-133 ,"Sampson Regional Medical Center
", NC
Data Engineer,$78K-$133K (Glassdoor est.),"Wisconsin Physicians Service Insurance Corporation
3.0","Madison, WI",1001 to 5000 Employees,1946,Company - Private,Insurance Carriers,78-133 ,"Wisconsin Physicians Service Insurance Corporation
", WI
"Associate Director, Clinical Scientist",$78K-$133K (Glassdoor est.),Prelude Therapeutics Incorporated,"Wilmington, DE",1 to 50 Employees,-1,Company - Public,-1,78-133 ,Prelude Therapeutics Incorporated, DE
Data Engineer,$78K-$133K (Glassdoor est.),Airlines Reporting Corporation (ARC),"Arlington, VA",-1,-1,-1,-1,78-133 ,Airlines Reporting Corporation (ARC), VA
"Single B-Cell Antibody Discovery, Beacon Scientist",$78K-$133K (Glassdoor est.),Abveris Antibody,"Canton, MA",-1,-1,-1,-1,78-133 ,Abveris Antibody, MA
Scientist,$78K-$133K (Glassdoor est.),"ArsenalBio
5.0","South San Francisco, CA",51 to 200 Employees,2019,Company - Private,Biotech & Pharmaceuticals,78-133 ,"ArsenalBio
", CA
Scientist,$78K-$133K (Glassdoor est.),"KCI Technologies Inc.
3.6","Sparks, MD",1001 to 5000 Employees,1988,Company - Private,Architectural & Engineering Services,78-133 ,"KCI Technologies Inc.
", MD
Sr Data-Applied Scientist-PCCI,$78K-$133K (Glassdoor est.),"Parkland Center for Clinical Innovation (PCCI)
4.4","Dallas, TX",1 to 50 Employees,2012,Nonprofit Organization,IT Services,78-133 ,"Parkland Center for Clinical Innovation (PCCI)
", TX
Senior Research Statistician- Data Scientist,$78K-$133K (Glassdoor est.),"Acuity, A Mutual Insurance Company
4.8","Sheboygan, WI",1001 to 5000 Employees,1925,Company - Private,Insurance Carriers,78-133 ,"Acuity, A Mutual Insurance Company
", WI
Market Research Data Scientist,$78K-$133K (Glassdoor est.),"GutCheck
3.8","Denver, CO",51 to 200 Employees,2009,Company - Private,Research & Development,78-133 ,"GutCheck
", CO
Data Scientist,$78K-$133K (Glassdoor est.),"TACG, LLC
4.5","Dayton, OH",51 to 200 Employees,2006,Company - Private,Consulting,78-133 ,"TACG, LLC
", OH
Data Engineer,$78K-$133K (Glassdoor est.),"Parsable
4.6",Remote,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,78-133 ,"Parsable
",Remote
Scientist/Research Associate-Metabolic Engineering,$78K-$133K (Glassdoor est.),"Conagen-Inc.com
2.5","New Bedford, MA",51 to 200 Employees,-1,Company - Private,Biotech & Pharmaceuticals,78-133 ,"Conagen-Inc.com
", MA
Data Scientist,$78K-$133K (Glassdoor est.),"The Dun & Bradstreet Corporation
3.0","Austin, TX",1001 to 5000 Employees,1841,Company - Public,IT Services,78-133 ,"The Dun & Bradstreet Corporation
", TX
Data Scientist,$78K-$133K (Glassdoor est.),"Managed Markets Insight & Technology, LLC
3.9","Yardley, PA",201 to 500 Employees,1994,Company - Private,Biotech & Pharmaceuticals,78-133 ,"Managed Markets Insight & Technology, LLC
", PA
Senior Data Scientist,$78K-$133K (Glassdoor est.),"The Mars Agency
2.9","Southfield, MI",201 to 500 Employees,1972,Company - Private,Advertising & Marketing,78-133 ,"The Mars Agency
", MI
Data Analyst,$78K-$133K (Glassdoor est.),"Trihydro Corporation
4.4","Laramie, WY",501 to 1000 Employees,1984,Company - Private,Oil & Gas Exploration & Production,78-133 ,"Trihydro Corporation
", WY
"Scientist, Tumor Immunology, Discovery Research",$78K-$133K (Glassdoor est.),"ArsenalBio
5.0","South San Francisco, CA",51 to 200 Employees,2019,Company - Private,Biotech & Pharmaceuticals,78-133 ,"ArsenalBio
", CA
Project Scientist,$78K-$133K (Glassdoor est.),"Alliance Source Testing
4.1","Alabaster, AL",51 to 200 Employees,2000,Unknown,Architectural & Engineering Services,78-133 ,"Alliance Source Testing
", AL
Data Scientist,$78K-$133K (Glassdoor est.),"International Financial Group, Inc.
2.9","New York, NY",201 to 500 Employees,1985,Company - Private,Insurance Carriers,78-133 ,"International Financial Group, Inc.
", NY
"Data Scientist - Statistics, Early Career",$78K-$133K (Glassdoor est.),"Pacific Northwest National Laboratory
3.8","Seattle, WA",1001 to 5000 Employees,1965,Government,Energy,78-133 ,"Pacific Northwest National Laboratory
", WA
"Scientist, Preclinical PK/ADME",$78K-$133K (Glassdoor est.),"Sutro Biopharma, Inc.
4.3",United States,51 to 200 Employees,2003,Company - Public,Biotech & Pharmaceuticals,78-133 ,"Sutro Biopharma, Inc.
",United States
Data Scientist,$78K-$133K (Glassdoor est.),"1904Labs
4.7","Saint Louis, MO",51 to 200 Employees,2016,Company - Private,IT Services,78-133 ,"1904Labs
", MO
Principal Data Scientist,$71K-$116K (Glassdoor est.),"Cummins Inc.
3.8","Columbus, IN",10000+ Employees,1919,Company - Public,Transportation Equipment Manufacturing,71-116 ,"Cummins Inc.
", IN
Data Scientist/Data Analytics Practitioner,$71K-$116K (Glassdoor est.),"Noblis, Inc.
3.8","Bridgeport, WV",1001 to 5000 Employees,1996,Nonprofit Organization,Consulting,71-116 ,"Noblis, Inc.
", WV
Data Engineer,$71K-$116K (Glassdoor est.),Airlines Reporting Corporation (ARC),"Arlington, VA",-1,-1,-1,-1,71-116 ,Airlines Reporting Corporation (ARC), VA
E-Discovery ESI Data Engineer,$71K-$116K (Glassdoor est.),"Xerox Corporation
3.1","Irvine, CA",10000+ Employees,1906,Company - Public,IT Services,71-116 ,"Xerox Corporation
", CA
Senior Data Analyst,$71K-$116K (Glassdoor est.),"Government Employees Insurance Company
3.3","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,71-116 ,"Government Employees Insurance Company
", MD
Senior Bioinformatics Scientist,$71K-$116K (Glassdoor est.),Eclipse BioInnovations,"San Diego, CA",-1,-1,-1,-1,71-116 ,Eclipse BioInnovations, CA
Data Scientist,$71K-$116K (Glassdoor est.),"Intellectual Ventures Management Llc
3.3","Bellevue, WA",501 to 1000 Employees,2000,Company - Private,Investment Banking & Asset Management,71-116 ,"Intellectual Ventures Management Llc
", WA
Data Scientist,$71K-$116K (Glassdoor est.),Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD",-1,-1,-1,-1,71-116 ,Johns Hopkins Applied Physics Laboratory (APL), MD
Data Analyst,$71K-$116K (Glassdoor est.),"TrialCard, Inc.
3.2","Morrisville, NC",1001 to 5000 Employees,2001,Company - Private,Advertising & Marketing,71-116 ,"TrialCard, Inc.
", NC
"Scientist/Senior Scientist, Analytical Development",$71K-$116K (Glassdoor est.),"Flexion Therapeutics
3.9","Burlington, MA",201 to 500 Employees,2007,Company - Public,Biotech & Pharmaceuticals,71-116 ,"Flexion Therapeutics
", MA
AI Data Scientist,$71K-$116K (Glassdoor est.),"The MITRE Corporation
3.2","McLean, VA",5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,71-116 ,"The MITRE Corporation
", VA
Data Scientist/Machine Learning,$71K-$116K (Glassdoor est.),"Juniper Networks, Inc.
3.8","Cupertino, CA",5001 to 10000 Employees,1996,Company - Public,Telecommunications Services,71-116 ,"Juniper Networks, Inc.
", CA
Senior Data Scientist,$71K-$116K (Glassdoor est.),"GutCheck
3.8","Denver, CO",51 to 200 Employees,2009,Company - Private,Research & Development,71-116 ,"GutCheck
", CO
Data Analyst,$71K-$116K (Glassdoor est.),"Comprehensive Healthcare
2.6","Yakima, WA",501 to 1000 Employees,1971,Nonprofit Organization,Health Care Services & Hospitals,71-116 ,"Comprehensive Healthcare
", WA
Data Scientist,$71K-$116K (Glassdoor est.),"Powertek
3.7","Washington, DC",51 to 200 Employees,2001,Company - Private,IT Services,71-116 ,"Powertek
", DC
Data Scientist,$71K-$116K (Glassdoor est.),"Zynga
4.2","Austin, TX",1001 to 5000 Employees,2007,Company - Public,Video Games,71-116 ,"Zynga
", TX
Payment Risk Analytics Manager,$71K-$116K (Glassdoor est.),"Podium
4.2",Remote,501 to 1000 Employees,2014,Company - Private,Computer Hardware & Software,71-116 ,"Podium
",Remote
Quality Systems Data Science Engineer,$71K-$116K (Glassdoor est.),"Mercury Marine
3.7","Fond du Lac, WI",1001 to 5000 Employees,1939,Company - Public,Consumer Products Manufacturing,71-116 ,"Mercury Marine
", WI
Data Engineer,$71K-$116K (Glassdoor est.),"WorldQuant, LLC
4.0","Austin, TX",501 to 1000 Employees,2007,Company - Private,Investment Banking & Asset Management,71-116 ,"WorldQuant, LLC
", TX
"Scientist, Bacteriology",$71K-$116K (Glassdoor est.),"Cerus Corporation
2.5","Concord, CA",201 to 500 Employees,-1,Company - Public,Biotech & Pharmaceuticals,71-116 ,"Cerus Corporation
", CA
Process Development Scientist (Process Development and Technology Operations),$71K-$116K (Glassdoor est.),"ArsenalBio
5.0","South San Francisco, CA",51 to 200 Employees,2019,Company - Private,Biotech & Pharmaceuticals,71-116 ,"ArsenalBio
", CA
Data Engineer,$71K-$116K (Glassdoor est.),"Zylotech
3.5","Cambridge, MA",1 to 50 Employees,2014,Company - Private,Computer Hardware & Software,71-116 ,"Zylotech
", MA
Data Analyst II,$71K-$116K (Glassdoor est.),"Cenlar Capital Corporation
2.5","Ewing, NJ",1001 to 5000 Employees,1958,Company - Private,-1,71-116 ,"Cenlar Capital Corporation
", NJ
Data Scientist -,$71K-$116K (Glassdoor est.),"Blue Owl
4.5","San Francisco, CA",51 to 200 Employees,2016,Company - Private,Internet,71-116 ,"Blue Owl
", CA
Data Engineer,$71K-$116K (Glassdoor est.),"Cadent Technology
3.0","Philadelphia, PA",201 to 500 Employees,-1,Company - Private,TV Broadcast & Cable Networks,71-116 ,"Cadent Technology
", PA
Data Scientist,$71K-$116K (Glassdoor est.),"Affinity Solutions, Inc.
3.0","New York, NY",51 to 200 Employees,1998,Company - Private,Advertising & Marketing,71-116 ,"Affinity Solutions, Inc.
", NY
Data Scientist / Computational Biologist,$71K-$116K (Glassdoor est.),"bluebird bio
3.1","Seattle, WA",1001 to 5000 Employees,2010,Company - Public,Biotech & Pharmaceuticals,71-116 ,"bluebird bio
", WA
Senior Data Scientist,$71K-$116K (Glassdoor est.),"Intercom
3.7","San Francisco, CA",501 to 1000 Employees,2011,Company - Private,Computer Hardware & Software,71-116 ,"Intercom
", CA
"Scientist, Analytics - Process and Technical Development, Manufacturing",$71K-$116K (Glassdoor est.),"ArsenalBio
5.0","South San Francisco, CA",51 to 200 Employees,2019,Company - Private,Biotech & Pharmaceuticals,71-116 ,"ArsenalBio
", CA
Data Scientist,$71K-$116K (Glassdoor est.),"CSG International, Inc.
3.9","Denver, CO",1001 to 5000 Employees,1994,Company - Public,Enterprise Software & Network Solutions,71-116 ,"CSG International, Inc.
", CO
Sr Data Scientist,$71K-$116K (Glassdoor est.),"Figure Technologies Inc
4.4","San Francisco, CA",201 to 500 Employees,2018,Company - Private,Lending,71-116 ,"Figure Technologies Inc
", CA
Data Scientist-Human Resources,$71K-$116K (Glassdoor est.),"Lincoln Laboratory - MIT
3.8","Lexington, MA",1001 to 5000 Employees,1951,Nonprofit Organization,Aerospace & Defense,71-116 ,"Lincoln Laboratory - MIT
", MA
Data Scientist,$80K-$135K (Glassdoor est.),"The E.W. Scripps Company
3.6","Cincinnati, OH",5001 to 10000 Employees,1878,Company - Public,TV Broadcast & Cable Networks,80-135 ,"The E.W. Scripps Company
", OH
Data Scientist / Applied Mathematician,$80K-$135K (Glassdoor est.),"Fullpower Technologies, Inc
4.5","Santa Cruz, CA",51 to 200 Employees,2003,Company - Private,Computer Hardware & Software,80-135 ,"Fullpower Technologies, Inc
", CA
"Director, Oncology R&D, Clinical Scientist",$80K-$135K (Glassdoor est.),"Daiichi Sankyo Company, Ltd.
3.1","Basking Ridge, NJ",10000+ Employees,1899,Company - Public,Biotech & Pharmaceuticals,80-135 ,"Daiichi Sankyo Company, Ltd.
", NJ
Clinical Laboratory Scientist,$80K-$135K (Glassdoor est.),OME Wellness,"San Diego, CA",-1,-1,-1,-1,80-135 ,OME Wellness, CA
"Senior Data Scientist, Zoro",$80K-$135K (Glassdoor est.),"Zoro Tools Europe GmbH
2.0","Chicago, IL",Unknown,-1,Company - Private,-1,80-135 ,"Zoro Tools Europe GmbH
", IL
Data Scientist,$80K-$135K (Glassdoor est.),"Technical Resources International Inc
2.6","Bethesda, MD",51 to 200 Employees,1990,Company - Private,Biotech & Pharmaceuticals,80-135 ,"Technical Resources International Inc
", MD
Business Intelligence Analyst,$80K-$135K (Glassdoor est.),"Canal Insurance Company
3.5","Greenville, SC",201 to 500 Employees,1939,Company - Private,Insurance Carriers,80-135 ,"Canal Insurance Company
", SC
Data Scientist-Human Resources,$80K-$135K (Glassdoor est.),"Lincoln Laboratory - MIT
3.8","Lexington, MA",1001 to 5000 Employees,1951,Nonprofit Organization,Aerospace & Defense,80-135 ,"Lincoln Laboratory - MIT
", MA
Senior Data Scientist,$80K-$135K (Glassdoor est.),"ZestFinance Inc.
3.7","Burbank, CA",51 to 200 Employees,2009,Company - Private,Financial Analytics & Research,80-135 ,"ZestFinance Inc.
", CA
Staff Data Scientist,$80K-$135K (Glassdoor est.),"PLENTY UNLIMITED INC
4.5","South San Francisco, CA",201 to 500 Employees,2013,Company - Private,Food Production,80-135 ,"PLENTY UNLIMITED INC
", CA
Data Scientist,$80K-$135K (Glassdoor est.),"Netskope Inc.
4.2","San Francisco, CA",501 to 1000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,80-135 ,"Netskope Inc.
", CA
MANAGING CONSULTANT– DATA ANALYTICS TEAM,$80K-$135K (Glassdoor est.),"Opinion Dynamics Corporation
4.2","Waltham, MA",51 to 200 Employees,1987,Company - Private,Consulting,80-135 ,"Opinion Dynamics Corporation
", MA
Quantitative Researcher,$80K-$135K (Glassdoor est.),"TGS Management Company
5.0","Irvine, CA",1 to 50 Employees,1989,Company - Private,Investment Banking & Asset Management,80-135 ,"TGS Management Company
", CA
Data Scientist II (Miami),$80K-$135K (Glassdoor est.),"OfferUp Inc.
3.4","Miami, FL",201 to 500 Employees,2011,Company - Private,Computer Hardware & Software,80-135 ,"OfferUp Inc.
", FL
Data Scientist (Polygraph Clearance),$80K-$135K (Glassdoor est.),"ManTech International Corporation
4.2","Chantilly, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,80-135 ,"ManTech International Corporation
", VA
Data Scientist,$80K-$135K (Glassdoor est.),"Postmates - Corporate HQ
3.3","San Francisco, CA",1001 to 5000 Employees,2011,Company - Private,Express Delivery Services,80-135 ,"Postmates - Corporate HQ
", CA
Senior Data Analyst,$80K-$135K (Glassdoor est.),"Sysco LABS
4.2","Austin, TX",201 to 500 Employees,2011,Company - Private,Computer Hardware & Software,80-135 ,"Sysco LABS
", TX
Operations Reporting/Data Analyst,$80K-$135K (Glassdoor est.),"iSolved
3.5","Charlotte, NC",1001 to 5000 Employees,1986,Company - Private,Enterprise Software & Network Solutions,80-135 ,"iSolved
", NC
"Scientist, Biologics Fermentation/Cell Culture",$80K-$135K (Glassdoor est.),"Nektar Therapeutics
3.3","San Francisco, CA",201 to 500 Employees,1990,Company - Public,Biotech & Pharmaceuticals,80-135 ,"Nektar Therapeutics
", CA
Business Intelligence Analyst & Developer,$80K-$135K (Glassdoor est.),"The David J. Joseph Company
4.4","Cincinnati, OH",201 to 500 Employees,1885,Subsidiary or Business Segment,Metals Brokers,80-135 ,"The David J. Joseph Company
", OH
Data Engineer,$80K-$135K (Glassdoor est.),"Americo Life, Inc.
3.3","Kansas City, MO",201 to 500 Employees,1992,Company - Private,Insurance Carriers,80-135 ,"Americo Life, Inc.
", MO
Quantitative Analyst II,$80K-$135K (Glassdoor est.),"Lands' End, Inc.
3.3","Dodgeville, WI",5001 to 10000 Employees,1963,Company - Public,"Department, Clothing, & Shoe Stores",80-135 ,"Lands' End, Inc.
", WI
Data Scientist/Data Analytics Practitioner,$80K-$135K (Glassdoor est.),"Noblis, Inc.
3.8","Bridgeport, WV",1001 to 5000 Employees,1996,Nonprofit Organization,Consulting,80-135 ,"Noblis, Inc.
", WV
Chief Scientist,$80K-$135K (Glassdoor est.),"National Rural Electric Cooperative Association
3.5","Arlington, VA",501 to 1000 Employees,1942,Nonprofit Organization,Membership Organizations,80-135 ,"National Rural Electric Cooperative Association
", VA
Data Scientist,$80K-$135K (Glassdoor est.),"Oversight Systems, Inc.
4.7","Atlanta, GA",51 to 200 Employees,2003,Company - Private,Computer Hardware & Software,80-135 ,"Oversight Systems, Inc.
", GA
"Scientist, Platform Development",$80K-$135K (Glassdoor est.),"GenMark Diagnostics, Inc.
2.7","Carlsbad, CA",501 to 1000 Employees,2010,Company - Public,Biotech & Pharmaceuticals,80-135 ,"GenMark Diagnostics, Inc.
", CA
SENIOR CONSULTANT– DATA ANALYTICS GROUP,$80K-$135K (Glassdoor est.),"Opinion Dynamics Corporation
4.2","Waltham, MA",51 to 200 Employees,1987,Company - Private,Consulting,80-135 ,"Opinion Dynamics Corporation
", MA
Data Scientist,$80K-$135K (Glassdoor est.),"Science Applications International Corporation, Inc.
3.8","Chantilly, VA",10000+ Employees,2013,Company - Public,Enterprise Software & Network Solutions,80-135 ,"Science Applications International Corporation, Inc.
", VA
Data Scientist,$80K-$135K (Glassdoor est.),"Northrop Grumman Corporation
3.8","Hill AFB, UT",10000+ Employees,1939,Company - Public,Aerospace & Defense,80-135 ,"Northrop Grumman Corporation
", UT
Data Scientist,$80K-$135K (Glassdoor est.),"The AES Corporation
4.4","Boulder, CO",10000+ Employees,1981,Company - Public,Utilities,80-135 ,"The AES Corporation
", CO
Data Engineer,$80K-$135K (Glassdoor est.),"Sound Transit
3.7","Seattle, WA",501 to 1000 Employees,1993,Government,Transportation Equipment Manufacturing,80-135 ,"Sound Transit
", WA
Data Engineer,$80K-$135K (Glassdoor est.),"Object Partners Inc
4.8","Saint Louis, MO",51 to 200 Employees,1996,Company - Private,Consulting,80-135 ,"Object Partners Inc
", MO
Aviation Data Scientist,$81K-$132K (Glassdoor est.),"The MITRE Corporation
3.2","McLean, VA",5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,81-132 ,"The MITRE Corporation
", VA
"Senior Staff Data Scientist, Applied AI - Visa Research",$81K-$132K (Glassdoor est.),"Visa Inc.
3.7","Austin, TX",10000+ Employees,1958,Company - Public,IT Services,81-132 ,"Visa Inc.
", TX
Data Scientist - TS/SCI Required,$81K-$132K (Glassdoor est.),"Phoenix Operations Group
5.0","Aberdeen Proving Ground, MD",1 to 50 Employees,2011,Company - Private,IT Services,81-132 ,"Phoenix Operations Group
", MD
"Analytical Scientist, mRNA Formulation Development Team",$81K-$132K (Glassdoor est.),"Greenlight Biosciences Inc
3.9","Medford, MA",51 to 200 Employees,2008,Company - Private,Biotech & Pharmaceuticals,81-132 ,"Greenlight Biosciences Inc
", MA
Class Action Data Analyst,$81K-$132K (Glassdoor est.),"Jackson Lewis LLP
3.0","Sacramento, CA",1001 to 5000 Employees,1957,Company - Private,Legal,81-132 ,"Jackson Lewis LLP
", CA
Senior Data Scientist,$81K-$132K (Glassdoor est.),"Activehours, Inc
2.9","Palo Alto, CA",201 to 500 Employees,2012,Company - Private,IT Services,81-132 ,"Activehours, Inc
", CA
Data Scientist,$81K-$132K (Glassdoor est.),"Spectrum
2.9","Stamford, CT",10000+ Employees,2016,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",81-132 ,"Spectrum
", CT
Data Scientist or Sr Data Scientist,$81K-$132K (Glassdoor est.),"Biogen Inc.
3.7","Cambridge, MA",5001 to 10000 Employees,1978,Company - Public,Biotech & Pharmaceuticals,81-132 ,"Biogen Inc.
", MA
Data Science Analyst,$81K-$132K (Glassdoor est.),"Greater New York Mutual Insurance Company
3.7","New York, NY",201 to 500 Employees,1914,Company - Private,Insurance Carriers,81-132 ,"Greater New York Mutual Insurance Company
", NY
Data Scientist,$81K-$132K (Glassdoor est.),"C3, Inc.
4.7","Redwood City, CA",201 to 500 Employees,2009,Company - Private,Enterprise Software & Network Solutions,81-132 ,"C3, Inc.
", CA
"Data Scientist, Product Development",$81K-$132K (Glassdoor est.),"Spokeo
3.3","Pasadena, CA",51 to 200 Employees,2006,Company - Private,Internet,81-132 ,"Spokeo
", CA
Data Scientist,$81K-$132K (Glassdoor est.),"The MITRE Corporation
3.2","McLean, VA",5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,81-132 ,"The MITRE Corporation
", VA
Senior or Staff Data Scientist,$81K-$132K (Glassdoor est.),"Grail Bio
3.5","Menlo Park, CA",201 to 500 Employees,2016,Company - Private,Biotech & Pharmaceuticals,81-132 ,"Grail Bio
", CA
Big Data Engineer - Chicago - Future Opportunity,$81K-$132K (Glassdoor est.),"Centro
4.0","Chicago, IL",501 to 1000 Employees,2001,Company - Private,Internet,81-132 ,"Centro
", IL
Principal Data Scientist,$81K-$132K (Glassdoor est.),"Infinite Resource Solutions
4.5",Remote,51 to 200 Employees,2013,Company - Private,Consulting,81-132 ,"Infinite Resource Solutions
",Remote
Data Scientist #5967,$81K-$132K (Glassdoor est.),"Fanatics, Inc.
3.4","San Mateo, CA",5001 to 10000 Employees,1996,Company - Private,Sporting Goods Stores,81-132 ,"Fanatics, Inc.
", CA
Senior Data Scientist (Computer Vision/Natural Language Processing),$81K-$132K (Glassdoor est.),"States Title
4.8","San Francisco, CA",1001 to 5000 Employees,2016,Company - Private,Insurance Agencies & Brokerages,81-132 ,"States Title
", CA
"Computational Scientist, Machine Learning",$81K-$132K (Glassdoor est.),"Pfizer Inc.
4.1","Cambridge, MA",10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,81-132 ,"Pfizer Inc.
", MA
Data Scientist - Risk,$81K-$132K (Glassdoor est.),"LSQ Funding
4.3","Orlando, FL",51 to 200 Employees,1996,Company - Private,Investment Banking & Asset Management,81-132 ,"LSQ Funding
", FL
Quality Control Scientist,$81K-$132K (Glassdoor est.),"Apellis Pharmaceuticals, Inc.
3.9",United States,201 to 500 Employees,2008,Company - Public,Biotech & Pharmaceuticals,81-132 ,"Apellis Pharmaceuticals, Inc.
",United States
Data Engineer,$81K-$132K (Glassdoor est.),"KSM Consulting
4.4","Indianapolis, IN",201 to 500 Employees,2008,Company - Private,Consulting,81-132 ,"KSM Consulting
", IN
Machine Learning Engineer,$81K-$132K (Glassdoor est.),"Systems & Technology Research
4.5","Woburn, MA",201 to 500 Employees,2010,Company - Private,Aerospace & Defense,81-132 ,"Systems & Technology Research
", MA
Data Engineer,$81K-$132K (Glassdoor est.),"NCSOFT Corporation
3.0","Aliso Viejo, CA",1001 to 5000 Employees,1997,Company - Public,Video Games,81-132 ,"NCSOFT Corporation
", CA
Data Scientist,$81K-$132K (Glassdoor est.),"Avlino Inc
4.6",New Jersey,1 to 50 Employees,2013,Company - Private,Enterprise Software & Network Solutions,81-132 ,"Avlino Inc
",New Jersey
Data Engineer,$81K-$132K (Glassdoor est.),"nbkc bank
4.7","Kansas City, MO",201 to 500 Employees,1999,Company - Private,Banks & Credit Unions,81-132 ,"nbkc bank
", MO
"Machine Learning Engineer, 2+ Years Experience",$81K-$132K (Glassdoor est.),"Snap, Inc.
3.7","Los Angeles, CA",1001 to 5000 Employees,2011,Company - Public,Computer Hardware & Software,81-132 ,"Snap, Inc.
", CA
Sr. Data Scientist,$81K-$132K (Glassdoor est.),"Navient Corporation
3.3","Fishers, IN",5001 to 10000 Employees,2014,Company - Public,Financial Transaction Processing,81-132 ,"Navient Corporation
", IN
Data Scientist,$81K-$132K (Glassdoor est.),"Quartet Health Inc
3.9","New York, NY",201 to 500 Employees,2014,Company - Private,Enterprise Software & Network Solutions,81-132 ,"Quartet Health Inc
", NY
Food Scientist - Developer,$81K-$132K (Glassdoor est.),"Palermo Villa Inc.
3.4","Milwaukee, WI",501 to 1000 Employees,1964,Company - Private,Food & Beverage Manufacturing,81-132 ,"Palermo Villa Inc.
", WI
Data Scientist (Fraud & Game Surveillance),$81K-$132K (Glassdoor est.),"NCSOFT Corporation
3.0","Aliso Viejo, CA",1001 to 5000 Employees,1997,Company - Public,Video Games,81-132 ,"NCSOFT Corporation
", CA
Machine Learning Engineer - Think Tank Team,$81K-$132K (Glassdoor est.),"Samsung Research America
3.7","Mountain View, CA",1001 to 5000 Employees,1988,Subsidiary or Business Segment,Computer Hardware & Software,81-132 ,"Samsung Research America
", CA
Data Analyst - Logistics,$81K-$132K (Glassdoor est.),"Sonoco Products Company
4.0","Southeastern, PA",10000+ Employees,1899,Company - Public,Industrial Manufacturing,81-132 ,"Sonoco Products Company
", PA
Data Scientist - Alpha Insights,$116K-$152K (Glassdoor est.),"Two Sigma
4.4","New York, NY",1001 to 5000 Employees,2001,Company - Private,Investment Banking & Asset Management,116-152 ,"Two Sigma
", NY
Data Scientist,$116K-$152K (Glassdoor est.),"Point72 Asset Management, L.P
3.9","New York, NY",1001 to 5000 Employees,2014,Company - Private,Investment Banking & Asset Management,116-152 ,"Point72 Asset Management, L.P
", NY
"Online Course Developer & Teacher-Data Science, Entrepreneurship,Marketing",$116K-$152K (Glassdoor est.),iLEAD Charter Schools,"Castaic, CA",-1,-1,-1,-1,116-152 ,iLEAD Charter Schools, CA
Senior Data Analyst,$116K-$152K (Glassdoor est.),"Driven Brands, Inc.
1.6","Charlotte, NC",1001 to 5000 Employees,2006,Company - Private,Automotive Parts & Accessories Stores,116-152 ,"Driven Brands, Inc.
", NC
Senior Data Scientist,$116K-$152K (Glassdoor est.),"Octane Lending
4.1","New York, NY",51 to 200 Employees,2014,Company - Private,Lending,116-152 ,"Octane Lending
", NY
"Translational Data Scientist, NIBR Translational Medicine",$116K-$152K (Glassdoor est.),"Novartis AG
4.0","Cambridge, MA",10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,116-152 ,"Novartis AG
", MA
Computational Scientist,$116K-$152K (Glassdoor est.),"General Dynamics Information Technology, Inc.
3.5","Stennis Space Center, MS",10000+ Employees,1996,Subsidiary or Business Segment,IT Services,116-152 ,"General Dynamics Information Technology, Inc.
", MS
